Tenor Year,2023-10-Oktober,2023-11-November,2023-12-Desember,2024-01-Januari,2024-02-Februari,2024-03-Maret,2024-04-April,2024-05-Mei,2024-06-Juni,2024-07-Juli,2024-08-Agustus,2024-09-September,2024-10-Oktober,2024-11-November,2024-12-Desember,2025-01-Januari,2025-02-Februari,2025-03-Maret,2025-04-April,2025-05-Mei,2025-06-Juni
0.1,0.06275,0.063221,0.063389,0.061856,0.060754,0.058214,0.055408,0.055879,0.054864,0.058591,0.063492,0.059904,0.059945,0.06254,0.06716,0.062397,0.061702,0.062647,0.06219,0.061132,0.057192
1.0,0.067025,0.064456,0.063682,0.062475,0.061918,0.061034,0.066692,0.063036,0.065464,0.063128,0.063811,0.060798,0.063031,0.064589,0.06879,0.065958,0.063708,0.065302,0.062965,0.061428,0.058818
2.0,0.06920912491924747,0.06536270644383602,0.06398127859034508,0.06304337309368813,0.0628824108701207,0.06301042015110014,0.07007779383930934,0.06640027042555774,0.06749020322934185,0.06552616158138291,0.06419907162648997,0.06143292700238545,0.06457740363084241,0.0659050074217189,0.06951951398911671,0.0672417822766882,0.06509577287643786,0.06616360137455612,0.06373684623188991,0.06211778514851862,0.06029423091130548
3.0,0.07026285060981219,0.06596069042773034,0.06426913849839577,0.06355523003606312,0.06363966424935685,0.0642646157382436,0.0707771692828496,0.06769050859516534,0.06816072847436927,0.06667995475048194,0.06460658086712123,0.06191898963185416,0.06541307243719463,0.06674812923066908,0.06980391748262149,0.06771243888223566,0.06605202545995859,0.0668180237601661,0.06454669897180865,0.06307331844325792,0.0615910157573003
4.0,0.070861206548821,0.06637051456737031,0.06455166926879552,0.06404860862641204,0.06427290270371078,0.06509883146044726,0.0709123388379107,0.06818854559885246,0.06889598160630972,0.0673358515714868,0.06502146518708574,0.06237738738783083,0.06605768164203818,0.06737924809735518,0.0699548313505538,0.06810297996320291,0.06680233916932554,0.0676606657013259,0.0654061054729802,0.06416550157810463,0.06278274244316773
5.0,0.0712679913126757,0.06667291985007595,0.06483432425185764,0.06453740199910163,0.06483232099025371,0.06569780777838208,0.07099372921520053,0.06844014719264657,0.06961591913608411,0.06782674649363485,0.06543290150578751,0.06285984106764064,0.06667759993238653,0.06791517081705867,0.07009013428171484,0.06859595452077394,0.0674467935778702,0.06860912711469735,0.06628084165061865,0.06528850281108278,0.06389627555272503
6.0,0.07157820319177022,0.06691809460612097,0.06512066837887631,0.06502733064161048,0.06534423663520061,0.06617459635476464,0.07109135701078895,0.06864793391360857,0.07017857724792598,0.06827713052316486,0.06583143724318186,0.0633863131099135,0.06729865965693249,0.06840177776917655,0.07024123921498115,0.06917444306073861,0.06802484150979038,0.06952038702802166,0.06713229277394817,0.06636534509787073,0.06493943585523354
7.0,0.07182628740562347,0.06714136432464102,0.0654097034493617,0.06551611033980587,0.06582644929851988,0.0665918056636039,0.07118936954748056,0.06886618794531274,0.07055443977222775,0.06871954454087859,0.06621283285586577,0.0639508141162739,0.06789691450090785,0.06885141926159677,0.07040589515581663,0.06977410166161668,0.06854913539720453,0.07030509789385664,0.06792523278592233,0.06735016711494302,0.06590953112454301
8.0,0.07202375834094532,0.06735860684659656,0.06570289042422872,0.066000000084804,0.06628326674967666,0.06698151792304863,0.07126951013698957,0.0690944590058915,0.07077833294601366,0.06915217057367506,0.06657110874021677,0.06454197884386237,0.06844901975494522,0.06926127113949776,0.07057300862839111,0.07034130178947295,0.06901967947807441,0.0709273360568039,0.06863721208480666,0.06821599900632336,0.06680210714116885
9.0,0.0721757913043295,0.06758082346357752,0.06599919248595132,0.06647092503034191,0.06671687318861386,0.06736084704188894,0.07132592926941506,0.06931869723522799,0.07089795631650042,0.06955892487991289,0.06690494409651926,0.06514349465890446,0.06893199231866642,0.06962977352749355,0.07073193621247142,0.07083821191919681,0.06943664269009897,0.07139007370104,0.06925915470161503,0.0689565273868249,0.06761069961889343
10.0,0.07228988613060872,0.06781201248670254,0.0662988400732023,0.06692546198875404,0.06712972854154886,0.0677324465969682,0.07136228623202068,0.06952269085887908,0.0709532876492942,0.06992796940781565,0.0672114596310538,0.06573875239376714,0.069338508148723,0.06995252867251067,0.07087522185260053,0.0712507432711238,0.06979891611834477,0.07171614004314497,0.06978634919991378,0.06957139243823729,0.06833493493684806
11.0,0.07237018973301068,0.06805100673064457,0.06659924023220354,0.06735834229174475,0.06751885825385173,0.0680966630870119,0.07138130121845476,0.06969900388071748,0.07097251658143877,0.07024926007514254,0.06749031232889391,0.06631641310995073,0.06967055573379355,0.07023055970407555,0.07099611443037013,0.0715791448125056,0.07010681160967569,0.07193527309294545,0.070222206773779,0.0700717701315301,0.06897574507879578
12.0,0.07242605035787775,0.06829811880619596,0.06689753393845632,0.0677651734813931,0.06788249964818216,0.0684480917946666,0.07139210262236984,0.0698455790008734,0.0709718183233623,0.07052233144214437,0.06774258437813185,0.06686375519702725,0.06993034360989925,0.07046203797906059,0.07109620979229381,0.07182817254621088,0.07036227239764381,0.07207140815452595,0.07057659553910645,0.07047015156677827,0.06953263264794018
13.0,0.07246318316306533,0.06855066187675618,0.06719515395259146,0.06814258736293777,0.06822026727423913,0.0687839834249564,0.07139382501102798,0.06996022682109704,0.07096299522689242,0.07074671165754154,0.0679694615428923,0.06737577725798416,0.07012825198176498,0.07065131246282963,0.07117723693899047,0.07201107094849779,0.07057226605417788,0.07215128339209587,0.0708574023196249,0.07077903138803698,0.07001301843657215
14.0,0.07248475023460066,0.068802485140804,0.06748885769922586,0.06848842249439135,0.06853012996980978,0.06909972872878933,0.07139376949818477,0.0700470969887872,0.0709495050717932,0.07092523468634115,0.06817226370137264,0.06784354051503838,0.0702742372821541,0.07080490735419653,0.07123783803505068,0.07213929546018849,0.0707396929359756,0.07219146386301523,0.07107520528057831,0.0710142126298483,0.07042034222262394
15.0,0.07249609549779779,0.06905015135751702,0.0677767034681438,0.06880531254863609,0.06881154180353244,0.06939363275664201,0.0713898429887525,0.07011081777846795,0.07093708364916806,0.07106284194865653,0.06834913190517256,0.06826710804015601,0.07037775359106258,0.07092331170123756,0.07128333961876088,0.07222568033783516,0.07087131357772325,0.0722070876837968,0.07124022343387426,0.07119007755111051,0.07076035330764752
16.0,0.07249965317439111,0.06929508781733507,0.06805998484184839,0.06908914231359575,0.06906743815652239,0.06966383540983845,0.07138688416573502,0.07015479996246143,0.07092340184991475,0.07116689650040264,0.06850675955538366,0.06864473677607363,0.07044764069123599,0.07101429866612818,0.07131609288074947,0.07227920320602332,0.07097118357093835,0.0722043690013141,0.0713604243984336,0.07131568984989789,0.07104329049177527
17.0,0.07249821788139577,0.06952971444979816,0.06833467377719704,0.06934270718349533,0.06929561684387031,0.06990645231350734,0.07138106719744997,0.07018288018337171,0.07090972975657661,0.07124195419187496,0.06864169896738836,0.06897816337813945,0.07049198506046728,0.07108286785119367,0.07133873076191555,0.07230810407717647,0.07104578777509185,0.07219229776251801,0.07144673501404464,0.07140139806834456,0.07127327920023774
18.0,0.0724930246675175,0.0697532194950532,0.06860005366109356,0.0695672404499339,0.06949751278687,0.07012297188910055,0.07137781311978952,0.07019936452535425,0.07089757693125343,0.07129512541894734,0.0687596481108772,0.06926745006117874,0.07051603671834172,0.0711308063800431,0.07135420154345473,0.07232167056183103,0.07109857138669007,0.07217517155655573,0.07150367789229106,0.07145698884720542,0.07145714107878609
19.0,0.07248551931782599,0.06996467565311715,0.06885926043633717,0.06976417573001736,0.06967478428300522,0.07031509927796398,0.07137313856150707,0.07020709148892057,0.07088670346760151,0.07132834963763468,0.06886105386918406,0.06951676800108486,0.07052575107796799,0.07116423620950263,0.07136179815763866,0.07232218902533138,0.07113549736216629,0.07215387452505362,0.07154053661745108,0.07148947983655529,0.07160273110597681
20.0,0.07247948228994305,0.07016303539731084,0.06910544385325745,0.06993518458833892,0.0698293492638431,0.07048269483660219,0.07136893147649115,0.07020926621091461,0.07087691744471103,0.07134811324286328,0.06894852707436927,0.06972668789327696,0.07052576104506336,0.07118374044881381,0.07136496511212154,0.07231447087007759,0.0711590858905351,0.0721316687789535,0.07155930112785702,0.07150262800245821,0.07171260860288609
21.0,0.07247033076796838,0.07034712507581742,0.069343910803779,0.0700822151059981,0.0699634228971433,0.07062567550244614,0.0713651250804741,0.07020733954556846,0.0708680635010579,0.0713551240736865,0.06902073995864577,0.06990456134834311,0.07051914127630843,0.07119444960049948,0.07136537109434093,0.0722995436380891,0.071170055260239,0.07211009097717813,0.07156456433876035,0.07150301784315483,0.07179658321672577
22.0,0.0724622544165836,0.0705156383349117,0.06956928707987142,0.07020753171402538,0.07007728123068979,0.07074632672182912,0.07136166473219374,0.07020073152068984,0.07086001452489721,0.07135715055622671,0.06908075133544056,0.07004956668328344,0.07050714248894518,0.07119756956832846,0.07136262879959587,0.07228329389287702,0.07117388346889908,0.07208865647321039,0.07156156967679417,0.07149581422770979,0.07185409049431857
23.0,0.07245512666380183,0.07067190582217742,0.06978502654282615,0.0703137566185279,0.07017132029790485,0.07084728869675261,0.07135850529352461,0.07019354333183037,0.07085266551254343,0.07135094236695805,0.06913201266707047,0.0701681241818124,0.0704912535980502,0.0711945250617263,0.07135871977488972,0.0722651047526548,0.07117196411786786,0.07206933098112223,0.07155145441375366,0.07147967599264526,0.0718944892163007
24.0,0.07244632888955294,0.07080968587880765,0.06999005803568736,0.07040141896866592,0.07025104188553222,0.07093160161215772,0.07135560914959616,0.07018302954299283,0.07084592896219077,0.07134047668299615,0.06917112268492431,0.0702625408709252,0.07047321397237627,0.07118946259554071,0.07135339467743917,0.07224690837483361,0.07116593198968069,0.0720493545768448,0.07153560615331767,0.07145829392872582,0.07191816464979284
25.0,0.072438235000986,0.0709351001489158,0.07018319215676416,0.07047120767001958,0.07031747670557964,0.07100012948427481,0.07135294470409659,0.07017384510789282,0.07083973137329491,0.07132503411379854,0.06920451046006426,0.0703355362930489,0.07045502984573004,0.07117925963395,0.07134640613630205,0.07222829492605731,0.07115508053594155,0.07203359877140891,0.07151567569044204,0.0714358877251069,0.07192838559246395
26.0,0.07243076377344981,0.07104684127786909,0.07036584042636518,0.07052944285265017,0.07036914571332287,0.07105118493944951,0.07135048522182474,0.07016320263028986,0.07083401055384275,0.0713120533053948,0.06922878205662109,0.07039028631866895,0.07043631144349427,0.07116593991978948,0.0713402093039952,0.07220887751198757,0.07114141233988613,0.07201657236192704,0.07149633254815524,0.0714090318465519,0.07192894802611627
27.0,0.0724267202651212,0.07114635867820196,0.07053676436506073,0.07057472537425524,0.0704101587550332,0.07109158507599123,0.07134820792845908,0.07015360180952279,0.07082871352604525,0.07129564752695616,0.06924851161969658,0.070427608932496,0.07041948970627177,0.07115464369829039,0.07133473100169896,0.07219116303024187,0.07112721610572192,0.072000807409077,0.07147426821947289,0.07138260770699456,0.0719183891554187
28.0,0.07242022972537288,0.07123232484867503,0.07069760184407792,0.07060856085968492,0.07044222018327795,0.07112303613099158,0.07134609330323949,0.0701420429167312,0.07082379488083812,0.07127823926136201,0.06926306310547492,0.0704545247151449,0.07040146436345585,0.07113928960239635,0.07132990952544582,0.07217197400076603,0.07111212949627621,0.07198616873187702,0.07145185846096114,0.07135614745885577,0.07190435182243848
29.0,0.07241418684436729,0.07130645526440738,0.0708470949529667,0.07063271877214117,0.07046420711964907,0.07114124441721881,0.07134412451799399,0.07013431408430493,0.07081921547285108,0.07125946929893412,0.0692717754032437,0.07046961012170971,0.07038189161706532,0.07112553720792292,0.07132260160257409,0.07215410866134975,0.07109579858652815,0.07197253979831619,0.0714286893394751,0.07132920599020198,0.07188272412752106
30.0,0.07240854685281639,0.07137074102953589,0.0709871714574124,0.0706459978835523,0.07047818353153135,0.07115463248995146,0.07134228698836265,0.07012420222949878,0.07081494137639899,0.07124547917632729,0.06927710727665404,0.07047464913239843,0.07036681917350185,0.07111001984663567,0.07131578091953616,0.07214073074541538,0.07108111325795785,0.07195981961665843,0.07140435776687659,0.07130135342214539,0.07185902055990012
